,coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,clouds_all,dt,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,snow_3h,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,visibility,sys_type,sys_id,rain_3h,wind_gust,rain_1h,weather_2_id,weather_2_main,weather_2_description,weather_2_icon,snow_1h
usolye,56.68,59.42,804,Clouds,overcast clouds,04n,stations,263.15,258.28,263.15,263.15,1023,86,,,2.4,184,93,1578455920,RU,1578459958,1578483174,18000,478269,Usolye,200,,,,,,,3,2001721,,,,,,,,
saint-michel-des-saints,-73.92,46.68,804,Clouds,overcast clouds,04n,model,266.57,261.59,266.57,266.57,1011,95,1011,949,3.07,174,100,1578455921,CA,1578400771,1578432217,-18000,6138802,Saint-Michel-des-Saints,200,,,,,,,,,,,,,,,,
bovenden,9.93,51.59,803,Clouds,broken clouds,04n,stations,278,272.88,276.48,279.82,1025,86,,,5.1,200,75,1578455921,DE,1578468270,1578497309,3600,2945726,Bovenden,200,,,,,,10000,1,1829,,,,,,,,
sembakung,117.25,3.82,804,Clouds,overcast clouds,04d,model,302.95,305.93,302.95,302.95,1011,62,1011,1009,2.25,75,87,1578455921,ID,1578435587,1578478463,28800,1627877,Sembakung,200,,,,,,,,,,,,,,,,
te anau,167.72,-45.41,803,Clouds,broken clouds,04d,model,285.55,282.18,285.55,285.55,1015,70,1015,961,3.84,287,77,1578455922,NZ,1578417046,1578472771,46800,2181625,Te Anau,200,,,,,,,,,,,,,,,,
tottori,134.23,35.5,520,Rain,light intensity shower rain,09d,stations,287.72,275.98,287.15,288.15,1002,62,,,15.9,270,75,1578455919,JP,1578435167,1578470730,32400,1849892,Tottori,200,,,,,,10000,1,8030,,22.6,,,,,,
mizdah,12.98,31.45,800,Clear,clear sky,01n,model,277.66,275.15,277.66,277.66,1027,88,1027,961,1.36,302,0,1578455922,LY,1578463686,1578500428,7200,2214827,Mizdah,200,,,,,,,,,,,,,,,,
corrales,-72.84,5.83,800,Clear,clear sky,01n,model,279.32,277.4,279.32,279.32,1016,96,1016,710,1.31,113,10,1578455923,CO,1578394997,1578437472,-18000,3685794,Corrales,200,,,,,,,,,,,,,,,,
dossor,52.98,47.52,804,Clouds,overcast clouds,04n,model,270.03,263.46,270.03,270.03,1028,68,1028,1031,5.23,99,100,1578455923,KZ,1578456896,1578488012,18000,610023,Dossor,200,,,,,,,,,,,,,,,,
ballina,-9.15,54.11,500,Rain,light rain,10n,stations,279.85,277.38,278.15,281.48,1016,86,,,1.79,248,100,1578455923,IE,1578473619,1578501121,0,2966778,Ballina,200,,,,,,,3,2012815,,2.68,0.51,,,,,
imeni babushkina,43.13,59.76,600,Snow,light snow,13n,model,268.46,263.24,268.46,268.46,1017,94,1017,999,3.65,195,99,1578455923,RU,1578463378,1578486260,10800,556858,Imeni Babushkina,200,0.63,,,,,,,,,,,,,,,
storsteinnes,19.23,69.24,500,Rain,light rain,10n,stations,277.44,267.52,277.15,278.15,971,60,,,10.8,160,100,1578455924,NO,0,0,3600,3136023,Storsteinnes,200,,,,,,10000,1,1619,,,,,,,,
hellin,-1.7,38.51,800,Clear,clear sky,01n,stations,272.41,269.47,270.15,274.82,1029,92,,,1,,0,1578455924,ES,1578468265,1578502898,3600,2516797,Hellin,200,,,,,,10000,1,6390,,,,,,,,
ushtobe,77.98,45.25,600,Snow,light snow,13d,model,268.24,264.83,268.24,268.24,1030,96,1030,969,1.07,296,100,1578455924,KZ,1578450396,1578482509,21600,1517637,Ushtobe,200,0.31,,,,,,,,,,,,,,,
nelson bay,152.14,-32.72,711,Smoke,smoke,50d,stations,298.29,295.87,297.04,300.37,1013,73,,,8.7,170,75,1578455925,AU,1578423104,1578474194,39600,2155562,Nelson Bay,200,,,,,,1500,1,9605,,,,,,,,
tamana,130.55,32.92,520,Rain,light intensity shower rain,09d,stations,285.08,278.61,283.71,286.48,1015,71,,,8.2,280,75,1578455925,JP,1578435673,1578471991,32400,1850745,Tamana,200,,,,,,10000,1,8006,,,,,,,,
