,coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,clouds_all,dt,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,snow_3h,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,visibility,sys_type,sys_id,rain_3h,wind_gust,rain_1h,weather_2_id,weather_2_main,weather_2_description,weather_2_icon,snow_1h
praia,-43.81,-20.25,802,Clouds,scattered clouds,03n,stations,294.15,296.68,294.15,294.15,1016,88,,,0.96,18,40,1578455800,BR,1578471770,1578519611,-10800,3460954,Praia,200,,,,,,10000,1,8329,,,,,,,,
simplicio mendes,-41.91,-7.85,501,Rain,moderate rain,10n,model,295.15,299.09,295.15,295.15,1012,95,1012,977,0.46,16,1,1578455800,BR,1578472639,1578517830,-10800,3387620,Simplicio Mendes,200,,,,,,,,,3.75,,,,,,,
hobart,147.33,-42.88,801,Clouds,few clouds,02d,stations,295.5,289.77,294.15,297.59,1018,49,,,8.7,160,20,1578455763,AU,1578422493,1578477114,39600,2163355,Hobart,200,,,,,,10000,1,9545,,,,,,,,
victoria,115.24,5.28,803,Clouds,broken clouds,04d,stations,303.44,307.77,303.15,304.15,1010,74,,,3.1,20,75,1578455801,BN,1578436214,1578478801,28800,1733782,Victoria,200,,,,,,10000,1,9372,,,,,,,,
napasar,73.56,27.97,802,Clouds,scattered clouds,03d,model,285.49,282.89,285.49,285.49,1016,86,1016,988,3.8,10,46,1578455801,IN,1578448689,1578486338,19800,1261882,Napasar,200,,,,,,,,,,,,,,,,
pevek,170.27,69.7,800,Clear,clear sky,01n,model,249.31,241.17,249.31,249.31,1014,78,1014,1013,6.24,151,0,1578455801,RU,0,0,43200,2122090,Pevek,200,,,,,,,,,,,,,,,,
sibu,111.83,2.29,803,Clouds,broken clouds,04d,stations,303.15,306.4,303.15,303.15,1010,70,,,3.6,40,75,1578455802,MY,1578436737,1578479916,28800,1735902,Sibu,200,,,,,,10000,1,9369,,,,,,,,
anadyr,177.51,64.73,803,Clouds,broken clouds,04n,stations,250.26,243.7,250.15,250.37,1020,76,,,4,320,75,1578455802,RU,1578434555,1578450562,43200,2127202,Anadyr,200,,,,,,10000,1,8872,,5,,,,,,
lebu,38.73,8.96,803,Clouds,broken clouds,04d,model,282.98,282.25,282.98,282.98,1018,93,1018,773,0.64,352,74,1578455802,ET,1578454948,1578496803,10800,344979,Lebu,200,,,,,,,,,,,,,,,,
chuy,-53.46,-33.69,800,Clear,clear sky,01n,model,291.44,289.09,291.44,291.44,1012,62,1012,1011,3.77,34,0,1578455803,UY,1578472331,1578523684,-10800,3443061,Chuy,200,,,,,,,,,,,,,,,,
namibe,12.15,-15.19,804,Clouds,overcast clouds,04n,model,296.16,298.54,296.16,296.16,1011,81,1011,1010,1.59,212,100,1578455803,AO,1578458896,1578505617,3600,3347019,Namibe,200,,,,,,,,,,,,,,,,
severo-yeniseyskiy,93.04,60.37,803,Clouds,broken clouds,04d,model,256.86,252.08,256.86,256.86,1027,96,1027,973,1.89,213,81,1578455803,RU,1578451727,1578473947,25200,1492566,Severo-Yeniseyskiy,200,,,,,,,,,,,,,,,,
itinga,-41.77,-16.61,500,Rain,light rain,10n,model,294.54,297.94,294.54,294.54,1013,93,1013,939,0.56,351,98,1578455803,BR,1578471688,1578518714,-10800,3460563,Itinga,200,,,,,,,,,0.13,,,,,,,
talnakh,88.39,69.49,620,Snow,light shower snow,13n,stations,257.15,247.34,257.15,257.15,1008,84,,,9,200,75,1578455804,RU,0,0,25200,1490256,Talnakh,200,,,,,,2400,1,8951,,,,,,,,
dikson,80.55,73.51,804,Clouds,overcast clouds,04n,model,253.99,247.77,253.99,253.99,1008,97,1008,1008,3.79,6,95,1578455804,RU,0,0,25200,1507390,Dikson,200,,,,,,,,,,,,,,,,
tromso,18.96,69.65,500,Rain,light rain,10n,stations,277.6,267.7,277.15,278.15,971,60,,,10.8,160,100,1578455685,NO,0,0,3600,3133895,Tromso,200,,,,,,10000,1,1619,,,,,,,,
kulhudhuffushi,73.07,6.62,801,Clouds,few clouds,02d,model,300.48,303.5,300.48,300.48,1012,74,1012,1012,2.61,33,23,1578455805,MV,1578446470,1578488792,18000,1337613,Kulhudhuffushi,200,,,,,,,,,,,,,,,,
auki,6.51,12.18,803,Clouds,broken clouds,04n,model,293.12,285.67,293.12,293.12,1013,18,1013,958,6.91,81,65,1578455805,NG,1578463009,1578504212,3600,2339937,Auki,200,,,,,,,,,,,,,,,,
port hedland,118.58,-20.31,803,Clouds,broken clouds,04d,stations,304.15,300.76,304.15,304.15,995,70,,,13.9,200,75,1578455805,AU,1578432772,1578480639,28800,2063042,Port Hedland,200,,,,,,10000,1,9585,,19,,,,,,
saint-philippe,-73.48,45.36,804,Clouds,overcast clouds,04n,stations,269.64,265.61,267.04,272.59,1011,80,,,1.82,142,90,1578455805,CA,1578400377,1578432399,-18000,6138908,Saint-Philippe,200,,,,,,16093,1,4146,,,,,,,,
saint john,-66.06,45.28,804,Clouds,overcast clouds,04n,stations,264.36,260.61,264.15,264.82,1016,92,,,1,,90,1578455740,CA,1578398580,1578430634,-14400,6138517,Saint John,200,,,,,,24140,1,930,,,,,,,,
shunyi,116.65,40.13,800,Clear,clear sky,01d,stations,275.4,269.99,274.26,276.15,1030,29,,,3,350,0,1578455806,CN,1578440137,1578474200,28800,2034754,Shunyi,200,,,,,,10000,1,9609,,,,,,,,
onguday,86.14,50.75,800,Clear,clear sky,01d,model,256.24,251.18,256.24,256.24,1035,76,1035,797,2.09,190,8,1578455806,RU,1578449751,1578479236,25200,1496130,Onguday,200,,,,,,,,,,,,,,,,
yarkovo,82.6,54.81,600,Snow,light snow,13d,stations,263.15,257.15,263.15,263.15,1030,85,,,4,170,90,1578455807,RU,1578451844,1578478843,25200,1486371,Yarkovo,200,,,,,,4500,1,8958,,,,,,,,
opole lubelskie,21.97,51.15,804,Clouds,overcast clouds,04n,stations,274.27,270.31,273.15,275.93,1028,85,,,2.6,220,90,1578455807,PL,1578465257,1578494541,3600,763107,Opole Lubelskie,200,,,,,,7000,1,1702,,,,,,,,
avarua,-159.78,-21.21,804,Clouds,overcast clouds,04d,stations,301.15,303.98,301.15,301.15,1013,78,,,4.1,60,100,1578455807,CK,1578413065,1578461148,-36000,4035715,Avarua,200,,,,,,10000,1,7271,,,,,,,,
saint-joseph,6.97,43.56,800,Clear,clear sky,01n,stations,277.64,274.4,272.04,282.59,1028,93,,,2.6,360,0,1578455808,FR,1578467092,1578499908,3600,3037456,Saint-Joseph,200,,,,,,10000,1,6507,,,,,,,,
kupang,123.6,-10.16,804,Clouds,overcast clouds,04d,stations,301.15,303.98,301.15,301.15,1008,78,,,4.1,330,90,1578455808,ID,1578432666,1578478334,28800,2057087,Kupang,200,,,,,,10000,1,9364,,,,,,,,
mar del plata,-67.52,-46.43,800,Clear,clear sky,01n,model,287.28,274.19,287.28,287.28,989,35,989,978,15.64,281,0,1578455808,AR,1578473309,1578529456,-10800,3863379,Mar del Plata,200,,,,,,,,,,,,,,,,
menongue,17.68,-14.66,500,Rain,light rain,10n,model,290.66,291.22,290.66,290.66,1012,94,1012,853,2.33,319,100,1578455809,AO,1578457625,1578504232,3600,3347353,Menongue,200,,,,,,,,,0.81,,,,,,,
tautira,-149.15,-17.73,801,Clouds,few clouds,02d,stations,303.15,307.1,303.15,303.15,1010,70,,,2.6,310,20,1578455809,PF,1578410910,1578458199,-36000,4033557,Tautira,200,,,,,,10000,1,7318,,,,,,,,
faanui,-151.75,-16.48,800,Clear,clear sky,01d,model,300.98,300.71,300.98,300.98,1010,78,1010,1009,8.39,101,8,1578455810,PF,1578411672,1578458685,-36000,4034551,Faanui,200,,,,,,,,,,,,,,,,
kamaishi,141.86,39.28,600,Snow,light snow,13d,stations,273.15,269.22,273.15,273.15,1004,94,,,2.6,30,75,1578455810,JP,1578433941,1578468292,32400,2112444,Kamaishi,200,,,,,,2000,1,8047,,,,,,,,
sao filipe,-24.5,14.9,804,Clouds,overcast clouds,04n,model,293.02,288.14,293.02,293.02,1016,69,1016,996,8.78,70,100,1578455810,CV,1578470735,1578511375,-3600,3374210,Sao Filipe,200,,,,,,,,,,,,,,,,
saint-georges,-70.67,46.12,804,Clouds,overcast clouds,04n,stations,263.32,259.09,262.59,264.26,1013,88,,,1.53,166,100,1578455811,CA,1578399867,1578431560,-18000,6295855,Saint-Georges,200,,,,,,,3,2003732,,,,,,,,
byron bay,153.62,-28.65,800,Clear,clear sky,01d,stations,304.75,304.58,302.15,307.15,1013,58,,,7.2,30,0,1578455811,AU,1578423323,1578473264,39600,2172880,Byron Bay,200,,,,,,10000,1,9486,,,,,,,,
lamar,-102.62,38.09,800,Clear,clear sky,01n,stations,278.93,269.42,278.71,279.15,1019,33,,,9.3,190,1,1578455811,US,1578406020,1578440748,-25200,5427957,Lamar,200,,,,,,16093,1,4652,,12.9,,,,,,
alferrarede,-8.18,39.48,801,Clouds,few clouds,02n,stations,274.35,271.75,273.15,275.37,1028,90,,,0.83,58,15,1578455812,PT,1578469983,1578504291,0,2272010,Alferrarede,200,,,,,,,3,2001942,,,,,,,,
dukat,19.57,40.25,800,Clear,clear sky,01n,stations,278.15,271.69,278.15,278.15,1024,32,,,4.83,130,0,1578455812,AL,1578463456,1578497494,3600,3184575,Dukat,200,,,,,,,3,2017700,,,,,,,,
worthington,-95.6,43.62,803,Clouds,broken clouds,04n,stations,261.01,254.36,259.15,264.15,1024,72,,,4.6,360,75,1578455680,US,1578405328,1578438069,-21600,5053460,Worthington,200,,,,,,16093,1,5831,,,,,,,,
hokitika,170.96,-42.72,804,Clouds,overcast clouds,04d,model,287.53,284.76,287.53,287.53,1015,73,1015,1016,3.87,329,100,1578455813,NZ,1578416851,1578471411,46800,2206894,Hokitika,200,,,,,,,,,,,,,,,,
nuuk,-51.74,64.17,620,Snow,light shower snow,13n,stations,256.05,245.63,255.93,256.15,986,84,,,9.8,250,100,1578455813,GL,1578489001,1578506188,-10800,3421319,Nuuk,200,,,,,,,1,86,,15.4,,,,,,
tenenkou,-4.91,14.46,803,Clouds,broken clouds,04n,model,290.2,284.45,290.2,290.2,1014,23,1014,982,4.6,33,67,1578455813,ML,1578465986,1578506718,0,2449938,Tenenkou,200,,,,,,,,,,,,,,,,
sitka,-99.65,37.17,800,Clear,clear sky,01n,stations,275.93,272.51,275.93,275.93,1024,49,,,0.89,85,0,1578455814,US,1578405158,1578440183,-21600,4267710,Sitka,200,,,,,,,3,2005167,,1.34,,,,,,
cayenne,-52.33,4.94,803,Clouds,broken clouds,04n,stations,300.15,304.41,300.15,300.15,1013,83,,,2.1,70,75,1578455814,GF,1578476407,1578519065,-10800,3382160,Cayenne,200,,,,,,8000,1,8669,,,,,,,,
pisco,-76.2,-13.71,803,Clouds,broken clouds,04n,stations,294.4,294.14,293.71,295.15,1015,88,,,5.1,210,75,1578455814,PE,1578393832,1578440250,-18000,3932145,Pisco,200,,,,,,10000,1,8691,,,,,,,,
kungurtug,97.53,50.6,800,Clear,clear sky,01d,model,252.7,248.86,252.7,252.7,1038,75,1038,829,0.19,173,0,1578455814,RU,1578446977,1578476541,25200,1501377,Kungurtug,200,,,,,,,,,,,,,,,,
copala,-98.97,16.61,800,Clear,clear sky,01n,model,301.2,304.6,301.2,301.2,1016,71,1016,1014,2.08,125,4,1578455815,MX,1578402376,1578442639,-21600,3530264,Copala,200,,,,,,,,,,,,,,,,
parabel,81.5,58.71,804,Clouds,overcast clouds,04d,model,256.5,252.18,256.5,256.5,1029,97,1029,1017,1.22,270,100,1578455815,RU,1578453665,1578477550,25200,1495586,Parabel,200,,,,,,,,,,,,,,,,
camden,-75.12,39.94,500,Rain,light rain,10n,stations,273.37,270.12,272.04,274.82,1014,88,,,1.5,270,1,1578455815,US,1578399732,1578433832,-18000,4501018,Camden,200,,701,Mist,mist,50n,11265,1,4743,,,0.38,,,,,
port elizabeth,-74.98,39.31,500,Rain,light rain,10n,stations,274.22,269.22,272.59,275.93,1014,86,,,4.1,300,90,1578455816,US,1578399590,1578433906,-18000,4501427,Port Elizabeth,200,,,,,,16093,1,4902,,,0.51,,,,,
tongliao,122.27,43.61,600,Snow,light snow,13d,model,262.94,256.15,262.94,262.94,1027,91,1027,1003,5.19,334,100,1578455816,CN,1578439433,1578472206,28800,2034400,Tongliao,200,0.13,,,,,,,,,,,,,,,
zheleznodorozhnyy,38,55.75,804,Clouds,overcast clouds,04n,stations,273.42,269.95,272.15,274.82,1023,94,,,2,230,90,1578455816,RU,1578462879,1578489222,10800,463355,Zheleznodorozhnyy,200,,,,,,10000,1,9020,,,,,,,,
leningradskiy,178.42,69.38,801,Clouds,few clouds,02n,model,245.57,238.71,245.57,245.57,1017,88,1017,1016,4.35,116,21,1578455816,RU,0,0,43200,2123814,Leningradskiy,200,,,,,,,,,,,,,,,,
mount isa,139.49,-20.73,803,Clouds,broken clouds,04d,stations,310.15,310.31,310.15,310.15,1008,29,,,2.6,320,75,1578455817,AU,1578427703,1578475669,36000,2065594,Mount Isa,200,,,,,,10000,1,9495,,,,,,,,
dubrovka,30.93,59.85,804,Clouds,overcast clouds,04n,stations,276,272.03,275.93,276.15,1013,86,,,3,220,90,1578455817,RU,1578466350,1578489146,10800,548392,Dubrovka,200,,,,,,10000,1,8926,,,,,,,,
gat,-16.54,14.69,802,Clouds,scattered clouds,03n,stations,290.61,283.93,290.15,291.15,1014,36,,,7.2,30,31,1578455817,SN,1578468802,1578509486,0,2249901,Gat,200,,,,,,8000,1,2410,,,,,,,,
teya,-89.07,21.05,801,Clouds,few clouds,02n,stations,293.12,293.62,292.15,294.26,1024,72,,,1.47,27,20,1578455817,MX,1578400489,1578439773,-21600,3526662,Teya,200,,,,,,11265,1,7140,,,,,,,,
bandarbeyla,50.81,9.49,500,Rain,light rain,10d,model,299.01,298,299.01,299.01,1015,76,1015,1015,7.63,47,100,1578455818,SO,1578452101,1578493849,10800,64814,Bandarbeyla,200,,,,,,,,,0.19,,,,,,,
wilmington island,-80.97,32,800,Clear,clear sky,01n,stations,283.6,279.93,280.93,285.15,1024,60,,,3.1,300,1,1578455818,US,1578399908,1578436465,-18000,4231354,Wilmington Island,200,,,,,,11265,1,3324,,,,,,,,
maceio,-35.74,-9.67,800,Clear,clear sky,01n,stations,296.15,299.79,296.15,296.15,1012,94,,,1.5,30,0,1578455521,BR,1578470972,1578516534,-10800,3395981,Maceio,200,,,,,,10000,1,8413,,,,,,,,
jiuquan,98.49,39.73,800,Clear,clear sky,01d,model,265.68,261.14,265.68,265.68,1027,41,1027,784,1.44,105,9,1578455819,CN,1578444426,1578478631,28800,1280957,Jiuquan,200,,,,,,,,,,,,,,,,
senneterre,-77.24,48.39,601,Snow,snow,13n,stations,270.15,265.12,270.15,270.15,1002,92,,,3.6,190,90,1578455819,CA,1578401967,1578432615,-18000,6144195,Senneterre,200,,,,,,603,1,950,,,,,,,,
pacific grove,-121.92,36.62,803,Clouds,broken clouds,04n,stations,282.39,277.32,279.26,285.15,1021,76,,,5.7,260,75,1578455819,US,1578410416,1578445618,-28800,5380437,Pacific Grove,200,,,,,,16093,1,5885,,,,,,,,
beringovskiy,179.32,63.05,804,Clouds,overcast clouds,04n,model,254.36,248.43,254.36,254.36,1020,98,1020,1019,3.4,345,100,1578455820,RU,1578432719,1578451528,43200,2126710,Beringovskiy,200,,,,,,,,,,,,,,,,
grindavik,-22.43,63.84,620,Snow,light shower snow,13n,stations,271.69,251.96,271.15,272.15,965,86,,,24.7,250,75,1578455820,IS,1578481699,1578499417,0,3416888,Grindavik,200,,,,,,2500,1,90,,31.9,,,,,,
kampong cham,105.46,11.99,804,Clouds,overcast clouds,04d,model,301.75,303.4,301.75,301.75,1013,62,1013,1010,3.33,358,99,1578455820,KH,1578439237,1578480474,25200,1831173,Kampong Cham,200,,,,,,,,,,,,,,,,
kavaratti,72.64,10.57,802,Clouds,scattered clouds,03d,stations,302.15,305.73,302.15,302.15,1014,74,,,3.1,360,40,1578455821,IN,1578446970,1578488499,19800,1267390,Kavaratti,200,,,,,,6000,1,9701,,,,,,,,
fare,-151.02,-16.7,800,Clear,clear sky,01d,model,300.99,301.27,300.99,300.99,1010,78,1010,1010,7.61,109,1,1578455821,PF,1578411473,1578458534,-36000,4034496,Fare,200,,,,,,,,,,,,,,,,
kabalo,26.92,-6.05,500,Rain,light rain,10n,model,293.51,296.56,293.51,293.51,1011,97,1011,946,0.84,172,91,1578455821,CD,1578456295,1578501126,7200,215668,Kabalo,200,,,,,,,,,0.63,,,,,,,
yarada,83.27,17.65,721,Haze,haze,50d,stations,297.15,299.22,297.15,297.15,1017,69,,,1,,20,1578455822,IN,1578445158,1578485207,19800,1252783,Yarada,200,,,,,,1500,1,9255,,,,,,,,
watsa,29.53,3.04,803,Clouds,broken clouds,04n,model,292.54,292.28,292.54,292.54,1011,59,1011,908,0.91,130,69,1578455822,CD,1578456568,1578499600,7200,204283,Watsa,200,,,,,,,,,,,,,,,,
hoyerswerda,14.25,51.43,800,Clear,clear sky,01n,stations,274.92,270.93,272.59,277.59,1026,80,,,2.6,180,5,1578455822,DE,1578467188,1578496317,3600,2898304,Hoyerswerda,200,,,,,,10000,1,1261,,,,,,,,
ilulissat,-51.1,69.22,801,Clouds,few clouds,02n,stations,254.15,246.05,254.15,254.15,984,53,,,6.2,110,23,1578455823,GL,0,0,-10800,3423146,Ilulissat,200,,,,,,,1,165,,,,,,,,
kavieng,150.8,-2.57,501,Rain,moderate rain,10d,model,300.98,303.05,300.98,300.98,1005,83,1005,1005,5.92,268,100,1578455823,PG,1578426901,1578471040,36000,2094342,Kavieng,200,,,,,,,,,6.63,,,,,,,
kautokeino,23.04,69.01,600,Snow,light snow,13n,model,271.11,260.84,271.11,271.11,977,91,977,929,11.21,184,99,1578455823,NO,0,0,3600,779330,Kautokeino,200,0.31,,,,,,,,,,,,,,,
puerto escondido,-97.07,15.86,800,Clear,clear sky,01n,model,293.87,291.29,293.87,293.87,1018,43,1018,954,2.91,17,0,1578455824,MX,1578401840,1578442262,-21600,3520994,Puerto Escondido,200,,,,,,,,,,,,,,,,
longyearbyen,15.63,78.22,801,Clouds,few clouds,02n,stations,273.15,260.59,273.15,273.15,976,93,,,14.9,110,20,1578455824,NO,0,0,3600,2729907,Longyearbyen,200,,,,,,10000,1,1663,,,,,,,,
altamont,-98.5,49.4,800,Clear,clear sky,01n,stations,252.52,247.32,252.04,253.15,1026,70,,,2.1,290,1,1578455824,CA,1578407320,1578437470,-21600,6065191,Altamont,200,,,,,,16093,1,3158,,,,,,,,
beloha,45.06,-25.17,800,Clear,clear sky,01d,model,294.89,295.97,294.89,294.89,1012,91,1012,991,3.87,92,0,1578455824,MG,1578449842,1578498869,10800,1067565,Beloha,200,,,,,,,,,,,,,,,,
mindelo,-8.72,41.31,803,Clouds,broken clouds,04n,stations,275.77,270.64,271.48,278.15,1031,86,,,4.6,120,75,1578455825,PT,1578470433,1578504100,0,2739997,Mindelo,200,,,,,,10000,1,6900,,,,,,,,
saint-louis,-16.5,16.03,803,Clouds,broken clouds,04n,stations,289.15,284.84,289.15,289.15,1015,31,,,3.1,40,73,1578455825,SN,1578468933,1578509335,0,2246452,Saint-Louis,200,,,,,,10000,1,2435,,,,,,,,
cleethorpes,-0.03,53.56,804,Clouds,overcast clouds,04n,stations,284.79,279.75,283.71,285.37,1014,81,,,6.7,230,95,1578455825,GB,1578471252,1578499109,0,2652885,Cleethorpes,200,,,,,,10000,1,1422,,,,,,,,
labuhan,115.51,-2.54,803,Clouds,broken clouds,04d,model,305.79,309.79,305.79,305.79,1009,54,1009,996,1.08,335,70,1578455826,ID,1578435376,1578479509,28800,1641899,Labuhan,200,,,,,,,,,,,,,,,,
ondjiva,15.73,-17.07,802,Clouds,scattered clouds,03n,model,292.58,292.89,292.58,292.58,1010,85,1010,887,2.86,271,47,1578455826,AO,1578457832,1578504962,3600,3346821,Ondjiva,200,,,,,,,,,,,,,,,,
ulcinj,19.22,41.93,800,Clear,clear sky,01n,stations,276.93,274.11,271.15,282.15,1027,58,,,0.5,,0,1578455826,ME,1578463842,1578497276,3600,3188516,Ulcinj,200,,,,,,10000,1,7035,,,,,,,,
port lincoln,135.86,-34.72,800,Clear,clear sky,01d,model,299.61,297.02,299.61,299.61,1014,39,1014,1008,4.32,96,0,1578455826,AU,1578426708,1578478406,37800,2063036,Port Lincoln,200,,,,,,,,,,,,,,,,
georgetown,-58.16,6.8,802,Clouds,scattered clouds,03n,stations,297.15,300.91,297.15,297.15,1014,94,,,2.1,40,40,1578455827,GY,1578391570,1578433851,-14400,3378644,Georgetown,200,,,,,,10000,1,8767,,,,,,,,
san carlos,-84.78,11.12,500,Rain,light rain,10n,stations,295.93,289.68,295.93,295.93,1015,10,,,4.52,69,0,1578455827,NI,1578398396,1578439805,-21600,3616911,San Carlos,200,,,,,,,3,2017699,0.13,,,,,,,
airai,125.41,-8.93,803,Clouds,broken clouds,04d,model,301.93,303.01,301.93,301.93,1007,49,1007,902,1.85,217,67,1578455827,TL,1578432358,1578477774,32400,1651810,Airai,200,,,,,,,,,,,,,,,,
itarema,-39.92,-2.92,804,Clouds,overcast clouds,04n,model,297.94,301.97,297.94,297.94,1012,86,1012,1008,1.18,29,100,1578455828,BR,1578472653,1578516860,-10800,3393692,Itarema,200,,,,,,,,,,,,,,,,
baykit,96.39,61.68,803,Clouds,broken clouds,04d,model,253.72,249.69,253.72,253.72,1025,99,1025,980,0.66,214,72,1578455828,RU,1578451681,1578472385,25200,1510689,Baykit,200,,,,,,,,,,,,,,,,
aklavik,-135.01,68.22,800,Clear,clear sky,01n,stations,234.15,228.73,234.15,234.15,1026,72,,,2.1,280,5,1578455828,CA,1578429106,1578433213,-25200,5882953,Aklavik,200,,,,,,24140,1,796,,,,,,,,
evensk,159.24,61.92,804,Clouds,overcast clouds,04d,model,252.86,247.36,252.86,252.86,1012,72,1012,990,2.56,3,100,1578455829,RU,1578436761,1578457128,39600,2125693,Evensk,200,,,,,,,,,,,,,,,,
kinshasa,15.31,-4.32,801,Clouds,few clouds,02n,stations,298.66,303.29,298.15,299.15,1012,94,,,2.1,270,20,1578455436,CD,1578459255,1578503740,3600,2314302,Kinshasa,200,,,,,,6000,1,2024,,,,,,,,
chicama,-79.15,-7.84,701,Mist,mist,50n,stations,294.15,294.77,294.15,294.15,1014,83,,,3.1,150,20,1578455829,PE,1578395150,1578440349,-18000,3698359,Chicama,200,,,,,,8000,1,8690,,,,,,,,
halifax,-63.58,44.65,803,Clouds,broken clouds,04n,stations,269.48,265.84,268.15,270.37,1016,92,,,1.5,290,75,1578455703,CA,1578397853,1578430170,-14400,6324729,Halifax,200,,,,,,24140,1,822,,,,,,,,
san borja,-66.75,-14.86,500,Rain,light rain,10n,model,297.63,302.01,297.63,297.63,1009,90,1009,986,1.02,12,94,1578455830,BO,1578391440,1578438105,-14400,3905792,San Borja,200,,,,,,,,,0.38,,,,,,,
tarnogskiy gorodok,43.58,60.5,600,Snow,light snow,13n,model,267.85,262.41,267.85,267.85,1016,93,1016,999,3.86,195,98,1578455830,RU,1578463660,1578485762,10800,484314,Tarnogskiy Gorodok,200,0.56,,,,,,,,,,,,,,,
guerrero negro,-114.04,27.97,804,Clouds,overcast clouds,04n,model,290.82,287.02,290.82,290.82,1018,37,1018,1015,3.23,323,100,1578455830,MX,1578407310,1578444941,-25200,4021858,Guerrero Negro,200,,,,,,,,,,,,,,,,
the valley,-63.06,18.22,803,Clouds,broken clouds,04n,stations,298.15,299.93,298.15,298.15,1019,83,,,4.1,70,75,1578455690,AI,1578393931,1578433842,-14400,3573374,The Valley,200,,,,,,10000,1,8801,,,,,,,,
kaina,8.59,12.64,800,Clear,clear sky,01n,stations,288.15,285.96,288.15,288.15,1018,51,,,1.5,60,0,1578455831,NG,1578462557,1578503665,3600,2334674,Kaina,200,,,,,,10000,1,1181,,,,,,,,
vrangel,133.08,42.73,600,Snow,light snow,13d,model,272.89,267.26,272.89,272.89,1011,87,1011,1009,4.78,320,100,1578455832,RU,1578436669,1578469781,36000,2013258,Vrangel,200,0.19,,,,,,,,,,,,,,,
fairbanks,-147.72,64.84,701,Mist,mist,50n,stations,240.41,236.36,238.15,242.04,1021,97,,,0.25,296,75,1578455601,US,1578426326,1578442096,-32400,5861897,Fairbanks,200,,,,,,8047,1,7683,,,,,,,,
port blair,92.75,11.67,803,Clouds,broken clouds,04d,model,299.93,300.39,299.93,299.93,1013,77,1013,1013,6.37,59,63,1578455832,IN,1578442255,1578483558,19800,1259385,Port Blair,200,,,,,,,,,,,,,,,,
marystown,-55.16,47.17,803,Clouds,broken clouds,04n,model,271.82,265.47,271.82,271.82,1017,81,1017,1017,5.47,239,70,1578455833,CA,1578482764,1578514067,-12600,6067472,Marystown,200,,,,,,,,,,,,,,,,
great yarmouth,1.73,52.61,804,Clouds,overcast clouds,04n,stations,285.56,280.3,284.26,286.15,1016,87,,,7.7,240,100,1578455664,GB,1578470535,1578498980,0,2647984,Great Yarmouth,200,,,,,,10000,1,1467,,,,,,,,
yerbogachen,108.01,61.28,600,Snow,light snow,13d,model,259.56,253.54,259.56,259.56,1019,94,1019,978,3.83,262,99,1578455833,RU,1578448652,1578469834,28800,2012956,Yerbogachen,200,0.19,,,,,,,,,,,,,,,
micheweni,39.83,-4.97,500,Rain,light rain,10d,model,302.05,305.21,302.05,302.05,1011,76,1011,1011,3.99,53,33,1578455834,TZ,1578453304,1578497919,10800,153955,Micheweni,200,,,,,,,,,0.44,,,,,,,
hualmay,-77.61,-11.1,802,Clouds,scattered clouds,03n,model,292.39,293.96,292.39,292.39,1017,88,1017,964,1.27,194,25,1578455834,PE,1578394445,1578440314,-18000,3939761,Hualmay,200,,,,,,,,,,,,,,,,
narsaq,-46.05,60.91,600,Snow,light snow,13n,stations,263.15,257.57,263.15,263.15,991,72,,,3.23,38,100,1578455834,GL,1578485382,1578507074,-10800,3421719,Narsaq,200,0.31,,,,,,1,47,,,,,,,,
leh,77.58,34.16,804,Clouds,overcast clouds,04d,model,256.75,252.06,256.75,256.75,1024,81,1024,591,1.64,235,94,1578455834,IN,1578448564,1578484533,19800,1264976,Leh,200,,,,,,,,,,,,,,,,
tecoanapa,-99.26,16.99,801,Clouds,few clouds,02n,stations,299.15,304.18,299.15,299.15,1014,88,,,1,80,20,1578455835,MX,1578402487,1578442667,-21600,3532499,Tecoanapa,200,,,,,,9656,1,7103,,,,,,,,
bay-khaak,94.47,51.16,804,Clouds,overcast clouds,04d,model,254.4,249.85,254.4,254.4,1042,67,1042,835,1.23,198,89,1578455835,RU,1578447865,1578477122,25200,1510690,Bay-Khaak,200,,,,,,,,,,,,,,,,
nome,-94.42,30.04,800,Clear,clear sky,01n,stations,278.97,276.13,276.15,282.15,1029,66,,,1.22,118,1,1578455835,US,1578402870,1578439961,-21600,4732862,Nome,200,,,,,,16093,1,3476,,,,,,,,
otane,176.62,-39.89,804,Clouds,overcast clouds,04d,stations,290.37,288.31,290.37,290.37,1016,59,,,2.68,90,100,1578455836,NZ,1578416042,1578469502,46800,2185329,Otane,200,,,,,,,3,2010964,,4.02,,,,,,
poum,20.71,41.28,800,Clear,clear sky,01n,model,269.69,264.82,269.69,269.69,1028,35,1028,901,2.03,82,0,1578455836,MK,1578463365,1578497038,3600,787487,Poum,200,,,,,,,,,,,,,,,,
christchurch,172.64,-43.53,804,Clouds,overcast clouds,04d,stations,289.21,284.71,287.59,290.37,1015,51,,,5.1,60,100,1578455544,NZ,1578416278,1578471176,46800,2192362,Christchurch,200,,,,,,10000,1,7348,,10.3,,,,,,
